@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
655.0,Female,300.0,35000.0,440.0,500.0,470.0,1410.0,3.12,14.0,21.0,22.0,6.0,EnglishandAnother,3.04,31.0,31.0,1
659.0,Male,0.0,121000.0,0.0,0.0,620.0,1563.76838235,3.64,32.0,27.0,31.0,5.88602941176,EnglishandAnother,3.32,47.0,91.0,1
660.0,Male,0.0,290000.0,620.0,620.0,590.0,1830.0,3.04,26.0,30.0,30.0,10.0,Another,2.77,43.0,80.0,1
666.0,Female,300.0,29065.0,600.0,590.0,630.0,1820.0,4.05,36.0,27.0,27.0,6.0,English,3.65,45.0,65.0,1
672.0,Male,0.0,92747.0,380.0,620.0,540.0,1540.0,3.41,17.0,27.0,19.0,10.0,English,3.16,45.0,66.0,1
676.0,Female,300.0,12000.0,640.0,590.0,510.0,1740.0,3.95,36.0,29.0,27.0,9.0,English,3.86,45.0,45.0,1
692.0,Female,0.0,70000.0,550.0,630.0,600.0,1780.0,3.64,36.0,24.0,29.0,3.0,Another,3.35,47.0,101.5,1
694.0,Female,300.0,33000.0,550.0,670.0,520.0,1740.0,4.04,36.0,24.0,31.0,10.0,English,3.68,54.0,76.0,1
717.0,Male,0.0,160000.0,0.0,0.0,620.0,1563.76838235,3.52,32.0,27.0,29.0,5.88602941176,English,3.34,40.0,57.0,1
718.0,Male,0.0,210000.0,730.0,690.0,640.0,2060.0,3.54,36.0,33.0,32.0,10.0,English,3.45,37.0,77.0,1
724.0,Male,300.0,170000.0,560.0,710.0,670.0,1940.0,3.86,36.0,25.0,33.0,8.0,Another,3.52,47.0,67.5,1
744.0,Female,0.0,90000.0,650.0,660.0,680.0,1990.0,3.5,36.0,31.0,31.0,9.0,English,3.4,45.0,45.0,1
747.0,Female,0.0,190000.0,640.0,750.0,700.0,2090.0,3.25,36.0,29.0,35.0,10.0,EnglishandAnother,2.91,47.0,56.0,1
763.0,Female,0.0,94541.6985294,650.0,730.0,620.0,2000.0,3.77,8.0,31.0,33.0,10.0,English,3.59,45.0,66.0,1
765.0,Unknown,0.0,213000.0,600.0,590.0,660.0,1850.0,3.21,36.0,27.0,27.0,5.88602941176,English,3.13,45.0,40.0,1
772.0,Female,0.0,220000.0,600.0,650.0,570.0,1820.0,3.72,36.0,27.0,31.0,10.0,English,3.36,45.0,45.0,1
775.0,Female,0.0,150000.0,600.0,640.0,690.0,1930.0,3.75,36.0,27.0,29.0,10.0,English,3.35,42.0,62.0,1
782.0,Female,300.0,32000.0,480.0,470.0,470.0,1420.0,3.45,36.0,20.0,20.0,9.0,EnglishandAnother,3.18,40.0,60.0,1
785.0,Female,300.0,85343.0,570.0,600.0,640.0,1810.0,3.8,21.0,30.0,26.0,9.0,English,3.4,47.0,71.0,1
789.0,Male,0.0,150000.0,610.0,670.0,720.0,2000.0,3.46,36.0,27.0,31.0,7.0,English,3.26,49.0,81.0,1
795.0,Female,0.0,5000.0,630.0,630.0,570.0,1830.0,4.04,36.0,29.0,29.0,9.0,English,3.77,40.0,57.0,1
796.0,Female,300.0,23000.0,540.0,580.0,540.0,1660.0,3.6,22.0,24.0,18.0,5.0,EnglishandAnother,3.5,45.0,45.0,1
798.0,Male,0.0,83329.0,690.0,670.0,640.0,2000.0,4.11,34.0,26.0,26.0,5.88602941176,English,3.88,45.0,57.0,1
