@RELATION admission_stats

@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0}

@DATA
Female,300.0,14400.0,520.0,480.0,530.0,1530.0,3.64,8.97391304348,9.24347826087,8.15652173913,10.0,Another,3.35,47.0,46.5,1.5
Male,300.0,35000.0,450.0,450.0,420.0,1320.0,3.41,19.0,18.0,16.0,1.0,EnglishandAnother,3.41,37.0,32.0,1.5
Female,300.0,18000.0,450.0,440.0,420.0,1310.0,3.08,8.97391304348,9.24347826087,8.15652173913,1.0,Another,2.87,45.0,35.0,1.5
Female,300.0,15499.0,530.0,590.0,520.0,1640.0,3.42,17.0,25.0,21.0,10.0,EnglishandAnother,3.34,45.0,56.0,1.5
Female,300.0,85000.0,390.0,420.0,440.0,1250.0,3.15,15.0,15.0,14.0,2.0,EnglishandAnother,3.05,36.0,46.0,1.5
Female,300.0,300000.0,660.0,630.0,620.0,1910.0,3.76,8.97391304348,9.24347826087,8.15652173913,4.4347826087,English,3.53,45.0,64.0,1.5
Female,300.0,6000.0,380.0,340.0,350.0,1070.0,3.41,8.97391304348,9.24347826087,8.15652173913,1.0,Another,3.33,35.0,42.0,1.5
Female,300.0,120000.0,580.0,520.0,560.0,1660.0,3.45,32.0,23.0,24.0,8.0,Another,3.09,35.0,75.0,1.5
Female,0.0,425000.0,500.0,490.0,530.0,1520.0,3.43113043478,8.97391304348,9.24347826087,8.15652173913,5.0,English,3.24739130435,35.0,43.0,1.5
Male,300.0,22000.0,570.0,490.0,540.0,1600.0,3.4,28.0,21.0,25.0,5.0,Another,3.04,40.0,59.0,1.5
Male,0.0,227000.0,640.0,680.0,720.0,2040.0,3.22,8.97391304348,9.24347826087,8.15652173913,4.4347826087,EnglishandAnother,3.13,39.0,39.0,1.5
Female,300.0,13000.0,440.0,680.0,560.0,1680.0,4.15,19.0,27.0,17.0,1.0,Another,3.75,40.0,45.0,1.5
Female,300.0,14000.0,510.0,550.0,580.0,1640.0,4.04,8.97391304348,9.24347826087,8.15652173913,7.0,Another,3.59,45.0,51.0,1.5
Female,0.0,22368.0,620.0,410.0,510.0,1540.0,3.05,8.97391304348,9.24347826087,8.15652173913,7.0,English,2.94,35.0,25.0,1.5
Female,300.0,24000.0,434.956521739,447.130434783,424.0,1306.08695652,3.35,33.0,25.0,23.0,2.0,Another,3.15,43.0,38.0,1.5
Male,300.0,60000.0,434.956521739,447.130434783,424.0,1306.08695652,2.77,27.0,27.0,25.0,3.0,English,2.45,38.0,40.0,1.5
Male,0.0,200000.0,434.956521739,447.130434783,424.0,1306.08695652,3.51,25.0,28.0,27.0,4.4347826087,EnglishandAnother,3.41,40.0,30.0,1.5
Male,0.0,146000.0,610.0,740.0,580.0,1930.0,3.65,8.97391304348,9.24347826087,8.15652173913,10.0,English,3.34,47.0,100.0,1.5
