@relation 'admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,13'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
0.029,0.125,0.357143,0.283333,0.193333,0.659091,0.057413,0.055889,0.054853,0.111111,0.776786,0.460526,0.281046,1
0.03127,0.607143,0.571429,0.616667,0.586667,0.829545,0.710995,0.638006,0.707988,0.666667,0.857143,0.552632,0.424837,1
0.033669,0.625,0.660714,0.666667,0.646667,0.674242,0.783246,0.638006,0.634985,0.777778,0.794643,0.486842,0.398693,1
0.0078,0.660714,0.821429,0.6,0.693333,0.689394,0.057413,0.055889,0.054853,1,0.736607,0.565789,0.379085,1
0.035,0.482143,0.553571,0.5,0.486667,0.734848,0.057413,0.055889,0.054853,0.444444,0.830357,0.460526,0.281046,1
0.108,0.589286,0.821429,0.716667,0.713333,0.882576,0.057413,0.055889,0.054853,0.542892,0.915179,0.565789,0.509804,1
0.244,0.5,0.25,0.633333,0.433333,0.689394,0.057413,0.055889,0.054853,0.542892,0.736607,0.552632,0.261438,1
0.04,0.490448,0.518448,0.531311,0.489179,0.768939,0.819372,0.710405,0.598484,0.111111,0.794643,0.5,0.45098,1
0.045,0.714286,0.446429,0.7,0.613333,0.613636,0.057413,0.055889,0.054853,0.444444,0.674107,0.526316,0.333333,1
0.11,0.607143,0.696429,0.683333,0.66,0.666667,0.057413,0.055889,0.054853,0.777778,0.723214,0.526316,0.320261,1
0.094542,0.5,0.410714,0.533333,0.453333,0.784091,0.458115,0.601807,0.561982,0.666667,0.848214,0.526316,0.333333,1
