@relation admission_stats-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute gender {Male,Female,Unknown}
@attribute Firgen numeric
@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute FirstLang {English,EnglishandAnother,Another}
@attribute HSGPAunweighted numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
Female,0,0.09302,0.625,0.589286,0.816667,0.68,0.693182,0.571786,0.517127,0.537006,0.444444,English,0.651786,4
Male,0,0.18,0.561603,0.589212,0.590667,0.565904,0.719697,0.814815,0.958333,0.692308,1,Another,0.736607,1
Male,0,0.02,0.375,0.375,0.466667,0.366667,0.625,0.555556,0.333333,0.461538,0.111111,English,0.589286,1
Male,0,0.16,0.589286,0.535714,0.616667,0.566667,0.761364,0.518519,0.583333,0.576923,0.333333,English,0.816964,0
Male,1,0.022703,0.482143,0.517857,0.583333,0.506667,0.772727,0.814815,0.583333,0.461538,0.777778,EnglishandAnother,0.866071,4
Female,0,0.013,0.428571,0.660714,0.583333,0.54,0.700758,0.571786,0.517127,0.537006,0.623153,EnglishandAnother,0.825893,1
Female,0,0.016,0.660714,0.571429,0.7,0.64,0.659091,0.571786,0.517127,0.537006,1,English,0.741071,4
Male,0,0.18,0.696429,0.857143,0.783333,0.793333,0.848485,0.571786,0.517127,0.537006,0.555556,English,0.888393,2
Male,0,0.09302,0.642857,0.607143,0.683333,0.64,0.537879,0.666667,0.5,0.846154,0.623153,English,0.633929,3
Female,0,0.13,1,0.767857,0.833333,0.893333,0.882576,0.571786,0.517127,0.537006,1,English,0.875,0
Female,1,0.053,0.392857,0.357143,0.566667,0.406667,0.734848,0.333333,0.375,0.346154,0.444444,EnglishandAnother,0.794643,3
Male,0,0.09302,0.5,0.732143,0.533333,0.573333,0.829545,0.666667,0.75,0.461538,0.888889,English,0.857143,3
Male,0,0.033758,0.714286,0.392857,0.8,0.633333,0.761364,0.571786,0.517127,0.537006,0.666667,English,0.776786,2
Female,0,0.155,0.892857,0.696429,0.783333,0.806667,0.594697,0.571786,0.517127,0.537006,0.623153,English,0.602679,4
Female,0,0.015,0.821429,0.571429,0.6,0.66,0.787879,0.571786,0.517127,0.537006,1,English,0.785714,1
Male,1,0.087,0.517857,0.553571,0.483333,0.493333,0.583333,0.571786,0.517127,0.537006,0.222222,EnglishandAnother,0.642857,3
Male,0,0.07,0.553571,0.5,0.516667,0.5,0.734848,0.571786,0.517127,0.537006,0.623153,EnglishandAnother,0.821429,2
Male,0,0.035048,0.517857,0.660714,0.733333,0.633333,0.776515,0.571786,0.517127,0.537006,0.444444,EnglishandAnother,0.754464,3
Female,1,0.037795,0.392857,0.392857,0.45,0.373333,0.659091,0.571786,0.517127,0.537006,0.222222,English,0.700893,3
Male,0,0.09,1,0.75,0.65,0.813333,0.973485,0.571786,0.517127,0.537006,0.555556,English,1,0
Female,1,0.08,0.642857,0.446429,0.833333,0.64,0.757576,0.740741,0.541667,0.769231,0.555556,English,0.758929,3
